
="Mother's Years of Education",="10.62",="14.64",="11.00",="7.383",="11.15",="12.99"
="",="(3.888)",="(3.288)",="(3.170)",="(3.563)",="(2.479)",="(3.221)"

="Family Income (in 1000 USD)",="41.90",="54.15",="45.08",="34.19",="39.72",="45.24"
="",="(31.64)",="(37.66)",="(32.32)",="(27.00)",="(31.52)",="(34.44)"

="Salariat",="0.254",="0.445",="0.284",="0.144",="0.214",="0.320"
="",="(0.435)",="(0.497)",="(0.451)",="(0.351)",="(0.410)",="(0.467)"

="Intermediate",="0.366",="0.341",="0.421",="0.315",="0.397",="0.364"
="",="(0.482)",="(0.474)",="(0.494)",="(0.465)",="(0.490)",="(0.482)"

="Farming",="0.0136",="0.00463",="0.00703",="0.0728",="0.00464",="0.00658"
="",="(0.116)",="(0.0679)",="(0.0836)",="(0.260)",="(0.0680)",="(0.0810)"

="Working(IIIb)",="0.118",="0.0967",="0.110",="0.105",="0.155",="0.127"
="",="(0.323)",="(0.296)",="(0.314)",="(0.307)",="(0.362)",="(0.333)"

="Working(VI+VIIa)",="0.243",="0.107",="0.172",="0.359",="0.223",="0.155"
="",="(0.429)",="(0.309)",="(0.377)",="(0.480)",="(0.416)",="(0.362)"

="Military",="0.00500",="0.00511",="0.00516",="0.00362",="0.00624",="0.0277"
="",="(0.0705)",="(0.0713)",="(0.0716)",="(0.0601)",="(0.0788)",="(0.164)"

="lower class",="0.0327",="0.0194",="0.0234",="0.0436",="0.0356",="0.0262"
="",="(0.178)",="(0.138)",="(0.151)",="(0.204)",="(0.185)",="(0.160)"

="working class",="0.491",="0.305",="0.443",="0.614",="0.529",="0.446"
="",="(0.500)",="(0.460)",="(0.497)",="(0.487)",="(0.499)",="(0.498)"

="middle class",="0.445",="0.614",="0.497",="0.326",="0.410",="0.488"
="",="(0.497)",="(0.487)",="(0.500)",="(0.469)",="(0.492)",="(0.500)"

="upper class",="0.0309",="0.0620",="0.0368",="0.0157",="0.0256",="0.0391"
="",="(0.173)",="(0.241)",="(0.188)",="(0.124)",="(0.158)",="(0.194)"

="Observations",="25031",="5185",="6703",="2476",="1352",="441"

="b coefficients; sd in parentheses"
